"date","stars","text","source","code"
"23.08.2019","5","Ich bin seit 2 Monaten bei der DKB. Das Gemeinschaftskonto eröffnen ging sehr einfach und schnell. Nach ca.9 Arbeitstagen hatte ich alles samt Karten da. Das 2te Cash Konto war viel schneller, nach 4 Arbeitstagen war es angelegt. In der Zwischenzeit habe ich 2-mal den Kundenservice angerufen, wo ich nicht mal 2 Minuten warten musste und man hat mir sofort weitergeholfen. Die Überweisungen und Daueraufträge sind auch sehr einfach und schnell zu tätigen. Den Umzugsservice habe ich auch in Anspruch genommen. Es ist wirklich so einfach und schnell wie DKB AG das beschreibt. Nach 20 min. war der Umzug vollendet (da ich etwas mehr Lastschriften habe). Nach 3 Tagen fingen an, die ersten Kontowechselbestätigungen mir ins Haus zu flattern. War also auch einwandfrei und sehr einfach. Die Übersichtlichkeit und Funktionalität ist für mich Persönlich einwandfrei, ich wüsste nicht was DKB besser oder ändern könnte. Ich würde die Bank immer wieder weiter empfehlen, bin sehr, sehr zufrieden.","sparkonto.org","dkb"
"21.08.2019","1","Wow so eine krass schlecht Erfahrung habe ich in meinem Leben noch nicht gemacht! Richtig richtig schlechter Kundenservice, Mitarbeiter die einen anmaulen, heutzutage 45 Min. sich mit einem Sprachcomputer rumzuschlagen und in der Warteschleife zu hängen ist eine Zumutung, viele Fintechs bieten die Möglichkeit per Chat ein Problem in wenigen Minuten zu lösen. DKB hinkt hier extrem hinterher! Das schlimmste ist der Support macht keine Notizen über die Gespräche die einen Tag vorher stattgefunden haben, man muss alles doppelt und dreifach erzählen. Die rechte Hand weiß nicht was die linke tut und das Unternehmen glänzt leider nicht durch einen guten Informationsfluss und Transparenz. Das schlimmste ist mein Geld hängt fest und ich bin gerade im Ausland mittellos, da DKB er nicht hinbekommt meine Überweisung auf mein Kreditkartenkonto auszuführen. Auch eine alternative Lösungsmöglichkkeit bieten sie nicht an!!","sparkonto.org","dkb"
"09.08.2019","1","Langjähriger Kunde! Jetzt ist die DKB dermaßen schlecht geworden, das ich mich nach einer Alternative umsehe. Ein strukturelles Desaster: 2 Konten mit verschiedenden Namen werden gemischt und es ist bei Anschreiben nicht nachvollziebar zu welchem Konto was gehört, etc,etc,etc! Der Service ist alles andere als ausreichend und die korrigierenden Maßnahmen sind kopflos und helfen in keinster Weise.  Ein schreiben an die BaFin ist in Arbeit und wird nachverfolgt....","sparkonto.org","dkb"
"13.07.2019","5","Das Konto habe ich seit mittlerweile ca 15 Jahren und bisher lieg alles problemlos. Vor kurzem bin ich auf Tan2go umgestiegen und habe darüber hinaus auch noch mal vorsichtshalber Chiptan eingerichtet. Falls ich mal mein Handy verliere, bin ich im Online-Banking nicht vollkommen aufgeschmissen. Ich finde die Preise sehr übersichtlich, weil ja alles kostenlos ist .... da kann man wirklich nicht viel falsch verstehen. Das einzige was Gebühren kostet, sind Bargeldeinzahlungen. 1,5% sind aber ok. ... und wenn man mal ehrlich ist: Wie oft zahl Otto-Normalangestellter denn schon Geld ein? Über miesen Kundenservice kann ich mich nicht beschweren, weil ich ihn noch nie benötigt habe. Ich weiss nicht, was die übrigen hier mit der Hotline haben? Gibt es den überhaupt eine? Und wofür? Ich weiss ja gar nicht, wozu ich in der Hotline anrufen soll! Steht doch alles im Internet-Banking. Wer lesen kann hat Vorteile im Leben. Manche Menschen manövrieren sich selbst in die Grütze und Schuld sind immer die anderen. Da habe ich keine Verständnis für.","sparkonto.org","dkb"
"27.06.2019","4","Das ab und an schlechte Feedback der Kunden-Hotline kann ich absolut nicht bestätigen - und ich habe selbige sehr oft angerufen (einige Dinge waren halt nicht selbsterklärend). Immer nett, schnelle Interaktion, alle Fragen und Probleme wurden nahezu in Echtzeit gelöst. Richtig gut! Das Konto selbst ist aktuell kaum zu stoppen, die Konditionen dürften Kundenzulauf generieren. Wie man Kunden vergrault, zeigen aktuell die Mitbewerber Comdirect, vor allem aber Ing! Letztere versucht, Ihre Kunden zum mobilen Banking mit dem Smartphone zu zwingen, die Comdirect bietet wenigstens PhotoTAN mit externem Lesegerät an - muss man aber bei denen kaufen. Is klar! Die DKB bietet ChipTAN; der Hauptgrund, dorthin zu gehen - Sicherheitslevel der DKB generell sehr hoch. Einziger Minuspunkt: das Tagesgeldkonto basiert auf einer virtuellen Kreditkarte, die allen Ernstes als Zahlungsmittel verwendet werden kann. Ein NoGo! Hier besteht erheblicher Verbesserungsbedarf, denn die virtuelle KK steht bei Bankingprogrammen für Geldtransfers nicht zu Verfügung, da keine IBAN.","sparkonto.org","dkb"
"21.06.2019","1","Bis vor kurzem war ich von Preisen und Leistungen der DKB positiv angetan. Seit mir jedoch in Spanien für drei Bargeldabhebungen von je 150 Euro dreimal 10 Euro Gebühren in Rechnung gestellt wurden, zusätzlich zu den Gebühren, die die spanische Bank erhebt, fühle ich mich von der DKB hinters Licht geführt. Die AGB sagen ""Bargeldabhebungen im Euroraum in Euro sind für alle Kunden seitens der DKB AG kostenlos."" Das gilt allerdings nur, wenn man an einem DKB-Automaten abhebt. Auf meine Nachfrage, wo es denn in Spanien DKB-Automaten gibt, bekomme ich die Antwort: ""Im Ausland gibt es bedauerlicherweise keine DKB-Geldautomaten.""  Anmerkung der Redaktion: Mit der DKB Girocard berechnet die Bank 1 % Gebühren bei Bargeldabhebungen, mit der DKB VISA sind Bargeldbezüge kostenlos - ausgenommen die Fremdgebühren der Automatenbetreiber. Wir gehen davon aus, dass der Kunde hier anstelle der VISA die Girocard verwendet hat - ärgerlich.","sparkonto.org","dkb"
"19.06.2019","3","Ich bin jetzt seit 2010 Kunde der DKB und muss sagen, die kostenlose EC- und Visakarte, das kostenlose Abheben an allen Geldautomaten weltweit und der kostenlose Einsatz der Visakarte ohne Auslandseinsatzgebühren als Aktivkunde sind eine hervorragende Leistung, die kaum eine andere Bank anbietet. Einziges Problem bei der DKB (auch immer noch im Jahr 2019) ist das freche und unverschämte und vor allem völlig inkompetente Auftreten des Kundenservice. Am schlimmsten ist es beim Schreiben einer Email: Hier wird entweder gar nicht geantwortet oder es werden einem Beleidigungen um die Ohren gehauen und gar nicht auf die Anfrage eingegangen. Ruft man auf der Hotline an, geht es zwar viel freundlicher, aber genauso inkompetent zu wie per Email. Es ist wirklich schade, dass sich die DKB ihr hervorragendes Angebot durch so einen frechen und inkompetenten Kundenservice total ruiniert, daher zwei Sterne Abzug. Also insgesamt kann man die DKB auf jeden Fall empfehlen, aber der Kundenservice ist völlig mangelhaft und inakzeptabel.","sparkonto.org","dkb"
"13.06.2019","5","Bin seit ca. einem halben Jahr Kunde der DKB. Wurde durch ein Handballspiel auf die Bank aufmerksam. Finde das Online-Cashback meeeeeega geil. Mal ganz ehrlich: Wie viele Banken bieten einem schon einen Rabatt an, wenn man mit ihrer Kreditkarte online einkaufen geht???? Geil. Einfach nur Praktisch.  War die beste Entscheidung die ich dieses Jahr getroffen habe, zur DKB zu wechseln. Bei der Sparkasse habe ich im Jahr 100 Euro Gebühren gezahlt und habe dafür nix bekommen. Pardon: Ich erhielt die standarisierten sterilisierten Steriominumumleistungen wie alle andere Sparkassenkunden auch. Bei der DKB habe ich ein kostenloses Konto und mehr Leistungen, als sich Sparkassenkunden überhaupt träumen lassen können! Das Online-Banking ist einfach, simpel und funktioniert. Die beiden Apps fand ich erst etwas ungewohnt, aber ok wenn man die Bank wechselt, muss man sich umgewöhnen. Der Mensch ist halt ein Gewohnheitstier.  Ich habe jetzt eine neue Hausbank und wenn es so weiter geht, wie bisher weiss ich nicht warum sich daran etwas ändern sollte.","sparkonto.org","dkb"
"12.06.2019","5","Eben auf Tan2go umgestellt. Hat alle problemlos funktioniert.  Aufgrund der anderen Erfahrungsberichte, war ich erst skeptisch wie das alles so ist. Aber nun kann ich die Berichte nicht verstehen. Hat alles geklappt. War von der Sache her total einfach.","sparkonto.org","dkb"
"08.06.2019","2","Die Leistungen sind Top. Das Online-Banking mit den Funktionen überzeugt. Ich bin nun seit über 10 Jahren Kunde bei der DKB. Solange man keine Hilfe oder sonstiges vom Kundendienst benötigt, ist alles gut. Ruft man mal wirklich bei der Hotline an, so kann einem im seltensten Fall direkt oder überhaupt geholfen werden. Die Mitarbeiter - sorry! - wirken tatsächlich sehr inkompetent - aber freundlich. Was mir sauer aufstößt ist, dass man nach schon einem Tag Verzögerung des monatl. Geldeingangs (z. B. weil Wochenende), den Aktivstatus verliert. Dabei spielt es keine Rolle, dass regelmäßig weit mehr als erforderlich auf das Konto eingeht... Weiter ist es mir unverständlich warum sich die DKB bei Überweisung so dermaßen viel Zeit nimmt. Ich bin gleichzeitig Kunde bei 4 weiteren Kreditinstituten (plus mehrer Kreditkartenkonten mit Überweisungsfunktion). Die DKB benötigt mit großem Abstand am längsten für die Bearbeitung (selbstverständlich ausgeführt im Online Banking). Es ist leider keine Seltenheit, drei Bankarbeitstage auf den Geldeingang zu warten.  Aber die Konditionen... beinahe unschlagbar! Das ist der Grund warum ich noch immer Kunde bin und wohl noch eine Zeit lang bleiben werde. Ohne die oben beschrieben Kritikpunkte gäbe es von mir tatsächlich 5 Sterne. So sind es leider nur 2, da mir speziell die übermäßige Überweisungsdauer schon mehrfach Probleme bereitet hatte.","sparkonto.org","dkb"
